District,Station,Rainfall,Date
Chennai,Chennai port trust,10,03-03-1993
Chennai,Chennai port trust,10,03-03-1993
Chennai,Sholinganallur,2,03-03-1993
Chennai,Chennai nungambakkam,2,03-03-1993
Chennai,Sholinganallur,46.1,16-05-1993
Chennai,Chennai nungambakkam,46.1,16-05-1993
Chennai,Chennai port trust,46,16-05-1993
Chennai,Chennai port trust,46,16-05-1993
Chennai,Sholinganallur,11.5,27-05-1993
Chennai,Chennai nungambakkam,11.5,27-05-1993
Chennai,Chennai port trust,8,27-05-1993
Chennai,Chennai port trust,8,27-05-1993
Chennai,Sholinganallur,0.5,28-05-1993
Chennai,Chennai nungambakkam,0.5,28-05-1993
Chennai,Sholinganallur,3.6,04-06-1993
Chennai,Chennai nungambakkam,3.6,04-06-1993
Chennai,Chennai port trust,2,04-06-1993
Chennai,Chennai port trust,2,04-06-1993
Chennai,Sholinganallur,31.6,09-06-1993
Chennai,Chennai nungambakkam,31.6,09-06-1993
Chennai,Chennai port trust,21,09-06-1993
Chennai,Chennai port trust,21,09-06-1993
Chennai,Sholinganallur,7.6,13-06-1993
Chennai,Chennai nungambakkam,7.6,13-06-1993
Chennai,Chennai port trust,3.1,13-06-1993
Chennai,Chennai port trust,3.1,13-06-1993
Chennai,Sholinganallur,2.8,14-06-1993
Chennai,Chennai nungambakkam,2.8,14-06-1993
Chennai,Chennai port trust,1.8,14-06-1993
Chennai,Chennai port trust,1.8,14-06-1993
Chennai,Chennai port trust,4.8,15-06-1993
Chennai,Chennai port trust,4.8,15-06-1993
Chennai,Sholinganallur,3.7,15-06-1993
Chennai,Chennai nungambakkam,3.7,15-06-1993
Chennai,Sholinganallur,0.1,21-06-1993
Chennai,Chennai nungambakkam,0.1,21-06-1993
Chennai,Chennai port trust,20.2,02-07-1993
Chennai,Chennai port trust,20.2,02-07-1993
Chennai,Sholinganallur,17.8,02-07-1993
Chennai,Chennai nungambakkam,17.8,02-07-1993
Chennai,Chennai port trust,1.6,06-07-1993
Chennai,Chennai port trust,1.6,06-07-1993
Chennai,Sholinganallur,0.8,06-07-1993
Chennai,Chennai nungambakkam,0.8,06-07-1993
Chennai,Chennai port trust,4.6,07-07-1993
Chennai,Chennai port trust,4.6,07-07-1993
Chennai,Sholinganallur,3.3,07-07-1993
Chennai,Chennai nungambakkam,3.3,07-07-1993
Chennai,Chennai port trust,8.8,08-07-1993
Chennai,Chennai port trust,8.8,08-07-1993
Chennai,Sholinganallur,5.4,08-07-1993
Chennai,Chennai nungambakkam,5.4,08-07-1993
Chennai,Sholinganallur,0.1,09-07-1993
Chennai,Chennai nungambakkam,0.1,09-07-1993
Chennai,Sholinganallur,2.3,10-07-1993
Chennai,Chennai nungambakkam,2.3,10-07-1993
Chennai,Chennai port trust,2,10-07-1993
Chennai,Chennai port trust,2,10-07-1993
Chennai,Sholinganallur,1.8,15-07-1993
Chennai,Chennai nungambakkam,1.8,15-07-1993
Chennai,Sholinganallur,0.6,16-07-1993
Chennai,Chennai nungambakkam,0.6,16-07-1993
Chennai,Sholinganallur,21.4,22-07-1993
Chennai,Chennai nungambakkam,21.4,22-07-1993
