MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,Temperature,Humidity,Rainfall
3,8,6,6,4,4,6,2,3,2,5,10,7,4,2,3,4,3,2,6,0.45,14.7,85.8,10
8,4,5,7,7,9,1,5,5,4,6,9,2,6,2,1,1,9,1,3,0.475,13.2,87.26,10
3,10,4,1,7,5,4,7,4,9,2,7,4,4,8,6,1,8,3,6,0.515,11.22,91.17,2
4,4,2,7,3,4,1,4,6,4,9,4,2,6,6,8,8,6,6,10,0.52,12.52,91.66,2
3,7,5,2,5,8,5,2,7,5,7,7,6,5,3,3,4,4,3,4,0.475,14.44,99.96,46.1
6,6,6,4,6,4,3,1,3,5,1,10,5,9,5,5,7,3,3,2,0.47,9.75,97.03,46.1
6,7,4,5,5,5,4,8,8,4,6,8,4,5,4,7,7,5,4,8,0.57,10.08,97.03,46
7,3,5,5,6,6,6,7,6,5,5,4,6,9,7,10,6,5,4,5,0.585,10.59,95.56,46
6,3,5,4,5,11,3,2,9,7,8,2,8,7,5,4,9,6,5,7,0.58,7.88,99.96,11.5
4,3,5,6,2,3,7,7,10,4,5,7,6,5,6,7,5,7,4,8,0.555,6.45,99.96,11.5
5,1,7,4,5,7,4,3,0,2,6,6,4,8,5,5,7,4,2,6,0.455,7.45,99.96,8
6,9,1,4,3,7,5,8,4,6,5,8,4,3,5,6,4,6,14,3,0.555,14.19,99.96,8
4,9,4,1,5,4,2,8,4,5,4,5,7,7,3,4,2,3,6,3,0.45,9.4,95.56,0.5
6,3,7,9,7,4,11,7,8,3,1,4,5,4,2,3,4,6,7,4,0.525,9.76,97.52,0.5
8,1,9,4,6,7,6,3,4,2,8,4,3,2,6,4,5,4,2,8,0.48,11.61,97.03,3.6
